epoch,epoch_time_secs,cpu_usage_percent,gpu_0_usage_percent,gpu_1_usage_percent
1,20.260946035385132,6.9,66.66666666666667,67.33333333333333
2,15.488012790679932,7.9,100.0,100.0
3,15.232886552810669,7.5,100.0,100.0
4,15.305007696151733,7.5,98.0,100.0
5,15.468908786773682,7.6,100.0,100.0
6,16.22984480857849,7.9,100.0,100.0
7,15.409821033477783,7.5,100.0,100.0
8,15.27341365814209,7.5,100.0,100.0
9,15.328063011169434,7.5,100.0,100.0
10,15.965446710586548,7.9,97.0,100.0
11,15.6321702003479,7.6,99.66666666666667,100.0
12,15.672507524490356,7.6,100.0,99.33333333333333
13,16.147916555404663,7.6,92.66666666666667,100.0
14,16.95878291130066,8.0,100.0,100.0
15,16.496196031570435,7.6,99.33333333333333,100.0
16,16.515092372894287,7.6,100.0,100.0
17,17.188027143478394,7.8,100.0,100.0
18,16.845057010650635,7.7,100.0,100.0
19,16.762728929519653,7.5,100.0,100.0
20,16.84257984161377,7.6,98.66666666666667,100.0
21,17.43058204650879,7.9,100.0,97.33333333333333
22,16.935848712921143,7.6,100.0,100.0
23,16.83237361907959,7.6,100.0,100.0
24,17.676833868026733,7.8,100.0,100.0
25,16.957467555999756,7.7,100.0,100.0
26,18.091290950775146,7.6,100.0,100.0
27,17.410277128219604,7.6,100.0,100.0
28,17.84663677215576,7.2,100.0,100.0
29,17.208788871765137,7.4,100.0,100.0
30,17.295824766159058,7.5,100.0,100.0
31,18.034149169921875,7.8,100.0,100.0
32,17.36332082748413,7.6,100.0,100.0
33,17.531766653060913,7.5,100.0,100.0
34,17.37133765220642,7.5,100.0,100.0
35,19.03512954711914,7.8,68.66666666666667,69.66666666666667
36,18.569164037704468,7.4,72.33333333333333,100.0
37,19.389161825180054,7.5,100.0,100.0
38,18.491106510162354,7.8,100.0,100.0
39,16.71894669532776,7.5,100.0,100.0
40,16.465158462524414,7.5,100.0,100.0
41,17.05698871612549,7.7,100.0,100.0
42,17.208164930343628,7.6,100.0,100.0
43,16.855785846710205,6.4,100.0,100.0
44,17.188281774520874,7.6,100.0,100.0
45,17.447661876678467,8.0,100.0,100.0
46,17.1685528755188,7.6,100.0,100.0
47,16.90235447883606,7.6,100.0,100.0
48,17.48685884475708,7.9,100.0,100.0
49,17.387543439865112,7.7,100.0,100.0
50,17.146520376205444,7.6,100.0,100.0
51,17.231112003326416,7.6,100.0,100.0
52,17.894090175628662,7.9,95.33333333333333,100.0
53,17.331454277038574,7.6,100.0,100.0
54,17.373793601989746,7.6,100.0,100.0
55,17.720696210861206,7.9,100.0,100.0
56,17.40851902961731,7.7,100.0,100.0
57,17.36830234527588,7.6,100.0,100.0
58,17.347753524780273,7.6,100.0,100.0
59,18.296795129776,8.0,67.66666666666667,67.66666666666667
60,17.407817125320435,7.6,100.0,100.0
61,17.677006721496582,7.5,100.0,100.0
62,18.16233730316162,7.9,100.0,100.0
63,17.590163707733154,7.6,100.0,97.0
64,19.22155737876892,7.5,100.0,100.0
65,18.2161762714386,7.8,100.0,100.0
66,18.301637887954712,7.6,100.0,100.0
67,18.056508541107178,7.5,100.0,100.0
68,19.160707712173462,7.5,100.0,100.0
69,18.332885265350342,7.7,100.0,100.0
70,20.321382522583008,6.6,100.0,100.0
71,19.210553646087646,6.5,100.0,71.0
72,19.954039335250854,6.8,100.0,70.0
73,19.210991621017456,6.5,100.0,100.0
74,19.91927146911621,6.5,86.33333333333333,68.0
75,19.26695442199707,7.5,100.0,100.0
76,19.019510746002197,7.5,100.0,100.0
77,21.407894611358643,6.6,100.0,100.0
78,21.076234340667725,6.8,100.0,100.0
79,19.647693157196045,6.5,100.0,100.0
80,19.83316421508789,6.4,100.0,100.0
81,21.511149883270264,7.0,70.0,38.333333333333336
82,18.196120977401733,7.5,100.0,100.0
83,18.091889142990112,7.2,100.0,100.0
84,19.59353494644165,7.1,100.0,100.0
85,18.48817276954651,7.5,100.0,100.0
86,18.09075427055359,7.6,100.0,100.0
87,18.56484627723694,7.9,100.0,100.0
88,18.722729921340942,7.6,100.0,100.0
89,18.39523959159851,7.5,100.0,100.0
90,18.893457651138306,7.8,100.0,100.0
91,18.33580732345581,7.6,100.0,100.0
92,18.946686267852783,6.8,100.0,100.0
93,20.78030776977539,7.1,100.0,100.0
94,18.46454119682312,6.6,100.0,100.0
95,18.388654708862305,6.5,100.0,100.0
96,20.234386205673218,6.6,100.0,100.0
97,18.244917631149292,6.7,100.0,100.0
98,19.130454540252686,6.6,100.0,100.0
99,18.473562002182007,6.5,100.0,100.0
100,18.86540961265564,6.9,100.0,100.0
