epoch,epoch_time_secs,cpu_usage_percent,gpu_0_usage_percent,gpu_1_usage_percent
1,20.14471673965454,18.9,12.333333333333334,0.0
2,5.331386566162109,19.8,38.0,0.0
3,5.34037709236145,20.3,6.333333333333333,0.0
4,5.312033653259277,20.7,12.666666666666666,0.0
5,5.233665466308594,19.8,6.333333333333333,0.0
6,5.303001880645752,19.8,10.666666666666666,0.0
7,5.287663459777832,19.2,6.666666666666667,0.0
8,5.2829296588897705,19.7,6.333333333333333,0.0
9,5.2940919399261475,20.0,6.333333333333333,0.0
10,5.257440567016602,21.1,6.333333333333333,0.0
11,5.395534992218018,21.4,6.333333333333333,0.0
12,5.3561365604400635,20.0,4.666666666666667,0.0
13,5.278176546096802,19.8,3.0,0.0
14,5.335756778717041,19.8,6.333333333333333,0.0
15,5.4467315673828125,20.8,6.333333333333333,0.0
16,5.293278455734253,19.9,7.666666666666667,0.0
17,5.208776950836182,19.7,6.333333333333333,0.0
18,5.216804265975952,19.3,6.666666666666667,0.0
19,5.230008363723755,18.5,6.333333333333333,0.0
20,5.210197448730469,19.0,6.333333333333333,0.0
21,5.197232723236084,19.0,8.0,0.0
22,5.210357904434204,20.2,8.666666666666666,0.0
23,5.365169286727905,19.7,4.666666666666667,0.0
24,5.383142709732056,19.8,6.333333333333333,0.0
25,5.321058034896851,19.8,8.0,0.0
26,5.287805557250977,20.6,0.0,0.0
27,5.434167861938477,20.3,6.333333333333333,0.0
28,5.123886823654175,19.9,6.333333333333333,0.0
29,5.1147637367248535,19.7,8.333333333333334,0.0
30,5.12192702293396,19.8,12.666666666666666,0.0
31,5.176651239395142,19.0,5.666666666666667,0.0
32,5.132275342941284,19.6,6.333333333333333,0.0
33,5.302061557769775,21.8,6.333333333333333,0.0
34,5.552363634109497,20.4,1.3333333333333333,0.0
35,5.348062515258789,19.4,6.333333333333333,0.0
36,5.256274938583374,15.8,8.333333333333334,0.0
37,5.356088638305664,18.3,7.0,0.0
38,5.251159429550171,20.7,6.333333333333333,0.0
39,5.247463226318359,19.9,6.333333333333333,0.0
40,5.279078006744385,19.8,5.666666666666667,0.0
41,5.276533603668213,19.8,8.333333333333334,0.0
42,5.114518165588379,19.8,6.333333333333333,0.0
43,5.139214277267456,19.4,12.666666666666666,0.0
44,5.295468091964722,19.7,6.333333333333333,0.0
45,5.320287704467773,19.9,6.333333333333333,0.0
46,5.367591142654419,19.8,6.333333333333333,0.0
47,5.227931261062622,18.9,11.666666666666666,0.0
48,5.190126657485962,19.7,10.666666666666666,0.0
49,5.275442600250244,19.9,6.333333333333333,0.0
50,5.3125081062316895,19.0,6.333333333333333,0.0
51,5.173232078552246,15.3,6.333333333333333,0.0
52,5.230537176132202,19.6,6.333333333333333,0.0
53,5.267063856124878,19.8,0.3333333333333333,0.0
54,5.2499916553497314,19.8,6.333333333333333,0.0
55,5.1672327518463135,19.5,3.3333333333333335,0.0
56,5.1838672161102295,19.7,12.666666666666666,0.0
57,5.194556713104248,19.3,5.333333333333333,0.0
58,5.211139440536499,20.1,6.333333333333333,0.0
