epoch,batch,distance
0,0,368.07855224609375
0,1,411.8690185546875
0,2,379.9729614257813
0,3,397.0206604003906
0,4,348.62188720703125
0,5,350.7915954589844
0,6,394.6521301269531
0,7,387.4632568359375
0,8,403.4761657714844
0,9,396.3099060058594
0,10,409.99212646484375
0,11,377.8696899414063
0,12,407.3388671875
0,13,378.5936584472656
0,14,389.8857727050781
0,15,338.76934814453125
0,16,422.05322265625
0,17,382.3795166015625
0,18,382.67877197265625
0,19,314.48077392578125
0,20,343.2494201660156
0,21,395.2818603515625
0,22,346.6938781738281
0,23,407.0567321777344
0,24,383.1340637207031
0,25,351.1774597167969
0,26,377.9850463867188
0,27,353.5604248046875
0,28,325.2642517089844
0,29,366.5567626953125
0,30,389.6181945800781
0,31,350.5865783691406
0,32,322.4013366699219
0,33,381.5257873535156
0,34,395.1569213867188
0,35,396.6647644042969
0,36,359.630859375
0,37,375.614990234375
0,38,383.7386169433594
0,39,366.6776428222656
0,40,349.2811584472656
0,41,401.1045227050781
0,42,390.4948120117188
0,43,338.213134765625
0,44,417.0041198730469
0,45,310.2094421386719
0,46,402.0381164550781
0,47,387.8655395507813
0,48,364.1443176269531
0,49,393.4163208007813
0,50,364.83642578125
0,51,382.8175964355469
0,52,294.5716857910156
0,53,321.6405029296875
0,54,441.32470703125
0,55,391.0550231933594
0,56,361.72308349609375
0,57,331.5810852050781
0,58,370.6374206542969
0,59,403.8626708984375
0,60,303.3422546386719
0,61,376.9617309570313
0,62,391.0342102050781
0,63,399.4670104980469
0,64,379.9631958007813
0,65,390.5151062011719
0,66,382.9197387695313
1,0,361.6202697753906
1,1,396.4419555664063
1,2,390.54888916015625
1,3,387.7402648925781
1,4,369.6601867675781
1,5,339.5106201171875
1,6,412.3804931640625
1,7,385.695068359375
1,8,372.41546630859375
1,9,399.7573547363281
1,10,350.5912170410156
1,11,404.62890625
1,12,352.0021057128906
1,13,347.9588928222656
1,14,365.2322692871094
1,15,352.4108581542969
1,16,419.1844482421875
1,17,397.17626953125
1,18,375.6941528320313
1,19,331.825927734375
1,20,373.2808532714844
1,21,387.34375
1,22,356.54302978515625
1,23,375.5274353027344
1,24,368.2554321289063
1,25,333.862060546875
1,26,383.1405334472656
1,27,368.6063537597656
1,28,387.4157409667969
1,29,374.1500549316406
1,30,367.5296325683594
1,31,372.1704711914063
1,32,352.33428955078125
1,33,405.1033325195313
1,34,370.83251953125
1,35,407.1931457519531
1,36,323.5638427734375
1,37,372.9304809570313
1,38,352.1387023925781
1,39,389.69134521484375
1,40,358.0986633300781
1,41,393.61419677734375
1,42,385.46234130859375
1,43,340.7259521484375
1,44,361.9196166992188
1,45,370.1100769042969
1,46,383.6936950683594
1,47,370.0270080566406
1,48,380.2550964355469
1,49,380.5774536132813
1,50,393.8097534179688
1,51,405.1388549804688
1,52,329.47955322265625
1,53,316.1716613769531
1,54,404.0216674804688
1,55,388.9925537109375
1,56,368.5778503417969
1,57,341.3973388671875
1,58,399.0630187988281
1,59,381.53607177734375
1,60,357.08404541015625
1,61,379.6365966796875
1,62,394.3636779785156
1,63,372.8620300292969
1,64,388.0331115722656
1,65,392.9981689453125
1,66,420.2475280761719
2,0,367.12408447265625
2,1,412.1583862304688
2,2,388.8665466308594
2,3,379.0161437988281
2,4,382.2096252441406
2,5,350.9298095703125
2,6,373.6788940429688
2,7,364.2135314941406
2,8,393.4464721679688
2,9,384.9374084472656
2,10,378.6078796386719
2,11,432.4837646484375
2,12,313.539306640625
2,13,355.18609619140625
2,14,338.50250244140625
2,15,276.4638366699219
2,16,390.1548461914063
2,17,460.178466796875
2,18,354.3207397460937
2,19,377.7632751464844
2,20,396.7225341796875
2,21,440.1880798339844
2,22,283.32281494140625
2,23,362.2810668945313
2,24,455.67431640625
2,25,375.538818359375
2,26,361.4131774902344
2,27,365.0895080566406
2,28,379.625244140625
2,29,332.8238830566406
2,30,398.9399719238281
2,31,321.3201904296875
2,32,374.3703002929688
2,33,358.6372985839844
2,34,349.9309997558594
2,35,431.4629211425781
2,36,361.509521484375
2,37,381.2623291015625
2,38,308.3087158203125
2,39,366.267822265625
2,40,437.44537353515625
2,41,370.8677978515625
2,42,364.2593994140625
2,43,365.6932373046875
2,44,353.5372314453125
2,45,344.9014892578125
2,46,375.476318359375
2,47,405.90130615234375
2,48,363.74658203125
2,49,374.6130981445313
2,50,368.73480224609375
2,51,368.21527099609375
2,52,395.22552490234375
2,53,334.0343017578125
2,54,406.3775939941406
2,55,386.6950378417969
2,56,359.7334899902344
2,57,347.71630859375
2,58,432.1717529296875
2,59,323.68670654296875
2,60,364.1170654296875
2,61,390.0165100097656
2,62,363.9497375488281
2,63,348.085205078125
2,64,373.4120178222656
2,65,400.1700439453125
2,66,409.6227111816406
3,0,482.1550903320313
3,1,444.2813415527344
3,2,367.3526306152344
3,3,482.1247863769531
3,4,380.95404052734375
3,5,356.30841064453125
3,6,372.0610961914063
3,7,438.3031005859375
3,8,455.4051513671875
3,9,402.042236328125
3,10,420.8582763671875
3,11,476.4718017578125
3,12,379.2527465820313
3,13,435.9040222167969
3,14,412.7538146972656
3,15,385.822021484375
3,16,388.4613037109375
3,17,412.5413818359375
3,18,385.7825317382813
3,19,412.1002197265625
3,20,449.9288940429688
3,21,475.0513000488281
3,22,385.0528564453125
3,23,484.9518127441406
3,24,401.9007568359375
3,25,381.217529296875
3,26,399.89886474609375
3,27,373.6997680664063
3,28,424.2095642089844
3,29,427.7568664550781
3,30,467.89306640625
3,31,421.3469848632813
3,32,359.42022705078125
3,33,432.649169921875
3,34,380.51470947265625
3,35,427.7455749511719
3,36,401.4945068359375
3,37,473.54107666015625
3,38,366.7395935058594
3,39,460.9000854492188
3,40,377.2994995117188
3,41,405.5112915039063
3,42,454.248291015625
3,43,427.6027526855469
3,44,397.0104064941406
3,45,425.8350830078125
3,46,408.9583435058594
3,47,430.91253662109375
3,48,396.2575073242188
3,49,389.6709899902344
3,50,420.3185729980469
3,51,449.0650634765625
3,52,371.7552185058594
3,53,404.383544921875
3,54,450.1569213867188
3,55,419.810791015625
3,56,367.3348388671875
3,57,383.91064453125
3,58,424.490234375
3,59,443.49700927734375
3,60,381.8341369628906
3,61,455.0568542480469
3,62,412.4949645996094
3,63,421.7640686035156
3,64,400.2386474609375
3,65,390.9423828125
3,66,457.5372924804688
4,0,281.05438232421875
4,1,321.4645080566406
4,2,269.8807373046875
4,3,411.365478515625
4,4,300.3754272460937
4,5,299.80194091796875
4,6,309.85577392578125
4,7,288.9044189453125
4,8,315.6629638671875
4,9,306.88848876953125
4,10,311.92596435546875
4,11,376.7111206054688
4,12,278.2019958496094
4,13,323.2281799316406
4,14,253.01821899414065
4,15,247.44728088378903
4,16,302.63067626953125
4,17,405.8255920410156
4,18,233.89898681640625
4,19,361.2550048828125
4,20,321.8366394042969
4,21,360.16326904296875
4,22,296.4090576171875
4,23,287.581787109375
4,24,290.6166381835937
4,25,263.1962280273437
4,26,342.1932067871094
4,27,307.4973449707031
4,28,276.2384948730469
4,29,293.4405822753906
4,30,333.4574279785156
4,31,276.4818115234375
4,32,243.7509307861328
4,33,297.7053527832031
4,34,271.4861755371094
4,35,354.3246459960937
4,36,354.7286071777344
4,37,288.559814453125
4,38,265.2926025390625
4,39,323.108642578125
4,40,292.7254638671875
4,41,237.7294921875
4,42,273.59979248046875
4,43,311.2335205078125
4,44,297.88232421875
4,45,310.3439636230469
4,46,287.1141662597656
4,47,283.34002685546875
4,48,305.4859924316406
4,49,316.2760925292969
4,50,265.1828308105469
4,51,361.9407348632813
4,52,322.3607482910156
4,53,244.31419372558597
4,54,299.75860595703125
4,55,318.2603454589844
4,56,362.4341430664063
4,57,355.6650390625
4,58,356.3591003417969
4,59,317.05816650390625
4,60,274.8791198730469
4,61,341.4830017089844
4,62,188.531494140625
4,63,236.16354370117188
4,64,357.2093200683594
4,65,304.4342041015625
4,66,309.1021728515625
5,0,267.3401794433594
5,1,292.021240234375
5,2,308.2712707519531
5,3,342.4257202148437
5,4,273.3568725585937
5,5,214.1542205810547
5,6,229.60446166992188
5,7,264.8407592773437
5,8,237.6869964599609
5,9,221.47445678710935
5,10,264.5977783203125
5,11,317.7706298828125
5,12,239.1647491455078
5,13,212.42794799804688
5,14,321.7386779785156
5,15,236.52874755859372
5,16,306.1910400390625
5,17,348.27587890625
5,18,198.4072113037109
5,19,240.69921875
5,20,262.69317626953125
5,21,312.0924072265625
5,22,204.960205078125
5,23,308.4530029296875
5,24,227.72412109375
5,25,230.02218627929688
5,26,261.00128173828125
5,27,236.05914306640625
5,28,251.08743286132807
5,29,197.15286254882807
5,30,268.9814147949219
5,31,266.4167175292969
5,32,220.99481201171875
5,33,270.532958984375
5,34,283.7715148925781
5,35,291.2551574707031
5,36,246.50045776367188
5,37,245.42237854003903
5,38,160.44692993164062
5,39,320.26226806640625
5,40,244.076416015625
5,41,248.87322998046875
5,42,260.5910949707031
5,43,258.2205810546875
5,44,266.977294921875
5,45,270.598876953125
5,46,277.361083984375
5,47,283.8300476074219
5,48,260.5621337890625
5,49,181.46401977539065
5,50,262.2926330566406
5,51,232.37890625
5,52,196.82879638671875
5,53,198.16244506835935
5,54,278.1204528808594
5,55,276.96417236328125
5,56,290.89898681640625
5,57,314.0039367675781
5,58,286.8017272949219
5,59,216.0142974853516
5,60,214.74620056152344
5,61,352.76031494140625
5,62,205.73312377929688
